Date	spCO2_mean(Pa)	fpCO2_mean(kg/m2/s)
2020-08-01	54.73	-8.299170e-10
2020-08-02	55.18	-4.953808e-10
2020-08-03	55.83	-4.045825e-10
2020-08-04	55.81	-6.157317e-10
2020-08-05	55.70	-5.863050e-10
2020-08-06	55.36	-5.552199e-10
2020-08-07	55.00	-6.298358e-10
2020-08-08	54.50	-9.437135e-10
2020-08-09	54.17	-9.803616e-10
2020-08-10	54.57	-4.479111e-10
2020-08-11	55.02	-3.555921e-10
2020-08-12	54.97	-6.450432e-10
2020-08-13	55.04	-6.487978e-10
2020-08-14	55.43	-4.740866e-10
2020-08-15	55.70	-4.656164e-10
2020-08-16	55.79	-4.232400e-10
2020-08-17	55.93	-3.515879e-10
2020-08-18	56.15	-3.925224e-10
2020-08-19	55.91	-8.879568e-10
2020-08-20	55.39	-1.247927e-09
2020-08-21	55.19	-8.027244e-10
2020-08-22	55.20	-5.556784e-10
2020-08-23	55.42	-3.594536e-10
2020-08-24	55.72	-2.491366e-10
2020-08-25	55.62	-5.747195e-10
2020-08-26	55.26	-9.899204e-10
2020-08-27	55.23	-6.291804e-10
2020-08-28	55.52	-2.133975e-10
2020-08-29	55.64	-2.351348e-10
2020-08-30	55.61	-3.487644e-10
2020-08-31	55.50	-5.094453e-10
2020-09-01	55.30	-7.352946e-10
2020-09-02	55.06	-7.081132e-10
2020-09-03	54.97	-8.481286e-10
2020-09-04	54.47	-1.899251e-09
2020-09-05	54.07	-1.069950e-09
2020-09-06	54.03	-4.180924e-10
2020-09-07	54.14	-2.424159e-10
2020-09-08	54.14	-3.720321e-10
2020-09-09	53.94	-8.869602e-10
2020-09-10	53.85	-7.759621e-10
2020-09-11	54.03	-3.008094e-10
2020-09-12	54.10	-1.729968e-10
2020-09-13	54.06	-3.628502e-10
2020-09-14	53.81	-1.184020e-09
2020-09-15	53.36	-1.636833e-09
2020-09-16	52.86	-2.224804e-09
2020-09-17	52.11	-3.150488e-09
2020-09-18	51.46	-2.121323e-09
2020-09-19	51.10	-1.203082e-09
2020-09-20	50.97	-3.929882e-10
2020-09-21	51.00	-1.891881e-10
2020-09-22	50.93	-3.047844e-10
2020-09-23	50.75	-5.195002e-10
2020-09-24	50.78	-4.225532e-10
2020-09-25	50.60	-8.033287e-10
2020-09-26	50.18	-1.534294e-09
2020-09-27	49.71	-8.299608e-10
2020-09-28	49.44	-5.680136e-10
2020-09-29	49.18	-6.299275e-10
2020-09-30	49.02	-2.851174e-10
2020-10-01	48.92	-2.495914e-10
2020-10-02	48.78	-6.949668e-10
2020-10-03	48.79	-7.753885e-10
2020-10-04	48.88	-6.132362e-10
2020-10-05	49.08	-3.411295e-10
2020-10-06	49.13	-2.052411e-10
2020-10-07	49.06	-3.374743e-10
2020-10-08	48.67	-8.603029e-10
2020-10-09	48.22	-7.380633e-10
2020-10-10	48.01	-2.717040e-10
2020-10-11	47.86	-3.259629e-10
2020-10-12	47.67	-7.282992e-10
2020-10-13	47.24	-9.712913e-10
2020-10-14	46.91	-4.605139e-10
2020-10-15	46.73	-6.830136e-10
2020-10-16	46.65	-3.125821e-10
2020-10-17	46.58	-2.460397e-10
2020-10-18	46.43	-2.522095e-10
2020-10-19	46.24	-2.590736e-10
2020-10-20	46.02	-3.208552e-10
2020-10-21	45.79	-2.179563e-10
2020-10-22	45.59	-1.849259e-10
2020-10-23	45.42	-1.413095e-10
2020-10-24	45.32	-1.589524e-10
2020-10-25	45.24	-1.887371e-10
2020-10-26	45.14	-9.435944e-11
2020-10-27	45.02	-1.977925e-10
2020-10-28	44.69	-7.575410e-10
2020-10-29	44.40	-4.127608e-10
2020-10-30	44.31	-1.994111e-10
2020-10-31	44.19	-1.441788e-10
