Date	DIC_mean(µmol/kg)	Alkalinity_mean(µmol/kg)
2020-08-01	2313.11	2656.38
2020-08-02	2312.98	2656.74
2020-08-03	2312.78	2656.88
2020-08-04	2312.38	2656.78
2020-08-05	2312.01	2656.66
2020-08-06	2312.22	2657.13
2020-08-07	2312.50	2657.58
2020-08-08	2312.69	2657.92
2020-08-09	2312.73	2658.18
2020-08-10	2312.58	2658.18
2020-08-11	2312.45	2658.18
2020-08-12	2312.49	2658.55
2020-08-13	2312.45	2658.89
2020-08-14	2312.27	2658.97
2020-08-15	2312.05	2658.99
2020-08-16	2311.96	2659.18
2020-08-17	2311.85	2659.28
2020-08-18	2311.78	2659.39
2020-08-19	2311.84	2659.61
2020-08-20	2311.89	2659.87
2020-08-21	2311.96	2660.18
2020-08-22	2312.04	2660.48
2020-08-23	2312.07	2660.73
2020-08-24	2311.99	2660.78
2020-08-25	2312.01	2660.96
2020-08-26	2312.16	2661.45
2020-08-27	2312.26	2661.83
2020-08-28	2312.25	2661.90
2020-08-29	2312.29	2662.01
2020-08-30	2312.33	2662.17
2020-08-31	2312.26	2662.21
2020-09-01	2312.09	2662.08
2020-09-02	2312.07	2662.11
2020-09-03	2311.95	2661.80
2020-09-04	2311.82	2661.43
2020-09-05	2311.90	2661.62
2020-09-06	2312.04	2661.83
2020-09-07	2312.02	2661.84
2020-09-08	2311.80	2661.58
2020-09-09	2311.63	2661.53
2020-09-10	2311.53	2661.70
2020-09-11	2311.51	2661.86
2020-09-12	2311.44	2661.83
2020-09-13	2311.23	2661.53
2020-09-14	2310.88	2661.04
2020-09-15	2310.14	2660.11
2020-09-16	2307.76	2656.78
2020-09-17	2304.39	2652.17
2020-09-18	2302.56	2649.91
2020-09-19	2302.34	2649.84
2020-09-20	2302.31	2649.92
2020-09-21	2302.21	2649.80
2020-09-22	2302.11	2649.81
2020-09-23	2301.86	2649.74
2020-09-24	2301.56	2649.62
2020-09-25	2301.45	2649.66
2020-09-26	2301.55	2649.95
2020-09-27	2301.77	2650.35
2020-09-28	2301.68	2650.16
2020-09-29	2301.83	2650.31
2020-09-30	2302.04	2650.60
2020-10-01	2302.14	2650.73
2020-10-02	2301.94	2650.51
2020-10-03	2301.41	2649.94
2020-10-04	2300.78	2649.23
2020-10-05	2300.38	2648.76
2020-10-06	2300.38	2648.82
2020-10-07	2300.53	2649.02
2020-10-08	2300.82	2649.36
2020-10-09	2301.33	2650.03
2020-10-10	2301.76	2650.54
2020-10-11	2301.87	2650.62
2020-10-12	2301.33	2649.77
2020-10-13	2301.12	2649.24
2020-10-14	2301.59	2649.63
2020-10-15	2301.75	2649.77
2020-10-16	2301.70	2649.67
2020-10-17	2301.77	2649.67
2020-10-18	2301.96	2649.84
2020-10-19	2302.14	2649.95
2020-10-20	2302.26	2649.99
2020-10-21	2302.52	2650.23
2020-10-22	2302.80	2650.50
2020-10-23	2303.03	2650.71
2020-10-24	2303.18	2650.81
2020-10-25	2303.32	2650.88
2020-10-26	2303.49	2651.00
2020-10-27	2303.38	2650.70
2020-10-28	2303.07	2650.05
2020-10-29	2303.26	2650.09
2020-10-30	2303.72	2650.52
2020-10-31	2304.08	2650.83
