Date	Depth(m)	NO3_C(mmol_m-3)	PO4_C(mmol_m-3)	NH4_C(mmol_m-3)	NO3_E(mmol_m-3)	PO4_E(mmol_m-3)	NH4_E(mmol_m-3)	NO3_W(mmol_m-3)	PO4_W(mmol_m-3)	NH4_W(mmol_m-3)	NO3_S(mmol_m-3)	PO4_S(mmol_m-3)	NH4_S(mmol_m-3)	NO3_N(mmol_m-3)	PO4_N(mmol_m-3)	NH4_N(mmol_m-3)
2020-09-16	1.02	0.324	0.009	0.133	0.443	0.008	0.147	0.254	0.009	0.126	0.188	0.009	0.105	0.603	0.008	0.183
2020-09-16	3.17	0.324	0.009	0.133	0.443	0.008	0.147	0.254	0.009	0.126	0.188	0.009	0.105	0.603	0.008	0.183
2020-09-16	5.46	0.324	0.009	0.133	0.443	0.008	0.147	0.254	0.009	0.126	0.188	0.009	0.105	0.603	0.008	0.183
2020-09-16	7.92	0.324	0.009	0.133	0.443	0.008	0.147	0.254	0.009	0.126	0.188	0.009	0.105	0.603	0.008	0.183
2020-09-16	10.54	0.324	0.009	0.133	0.443	0.008	0.147	0.254	0.009	0.126	0.188	0.009	0.105	0.603	0.008	0.183
2020-09-16	13.32	0.324	0.009	0.133	0.443	0.008	0.147	0.254	0.009	0.126	0.188	0.009	0.105	0.603	0.008	0.183
2020-09-16	16.27	0.324	0.009	0.133	0.443	0.008	0.147	0.254	0.009	0.126	0.188	0.009	0.105	0.603	0.008	0.183
2020-09-16	19.40	0.324	0.009	0.133	0.441	0.008	0.148	0.242	0.009	0.127	0.186	0.009	0.105	0.603	0.008	0.183
2020-09-16	22.71	0.324	0.009	0.133	0.438	0.007	0.148	0.216	0.007	0.129	0.175	0.009	0.105	0.603	0.008	0.183
2020-09-16	26.20	0.324	0.009	0.133	0.447	0.006	0.148	0.231	0.006	0.138	0.149	0.008	0.106	0.542	0.008	0.174
2020-09-16	29.89	0.317	0.009	0.134	0.473	0.006	0.153	0.265	0.006	0.149	0.153	0.007	0.111	0.465	0.007	0.159
2020-09-16	33.77	0.295	0.007	0.147	0.498	0.005	0.159	0.306	0.006	0.158	0.181	0.007	0.122	0.495	0.006	0.165
2020-09-16	37.85	0.338	0.006	0.160	0.527	0.005	0.166	0.349	0.006	0.170	0.221	0.007	0.135	0.518	0.005	0.170
2020-09-16	42.15	0.396	0.006	0.172	0.564	0.006	0.176	0.399	0.006	0.184	0.268	0.007	0.151	0.529	0.005	0.175
2020-09-16	46.65	0.458	0.006	0.184	0.612	0.006	0.188	0.457	0.007	0.200	0.321	0.007	0.168	0.553	0.006	0.183
2020-09-16	51.38	0.530	0.007	0.200	0.669	0.007	0.202	0.521	0.008	0.219	0.380	0.008	0.185	0.603	0.006	0.197
2020-09-16	56.33	0.613	0.008	0.218	0.732	0.008	0.217	0.589	0.009	0.239	0.444	0.008	0.203	0.669	0.007	0.213
2020-09-16	61.52	0.704	0.010	0.237	0.797	0.009	0.233	0.660	0.010	0.259	0.512	0.009	0.222	0.744	0.009	0.231
