Date	Depth(m)	DIC_C(µmol/kg)	Alk_C(µmol/kg)	DIC_E(µmol/kg)	Alk_E(µmol/kg)	DIC_W(µmol/kg)	Alk_W(µmol/kg)	DIC_S(µmol/kg)	Alk_S(µmol/kg)	DIC_N(µmol/kg)	Alk_N(µmol/kg)
2020-09-16	1.02	2300.60	2644.35	2328.46	2687.32	2290.15	2629.50	2267.76	2594.46	2323.56	2681.19
2020-09-16	3.17	2300.60	2644.34	2328.45	2687.32	2290.15	2629.50	2267.76	2594.46	2323.56	2681.19
2020-09-16	5.46	2300.60	2644.34	2328.45	2687.32	2290.15	2629.50	2267.76	2594.46	2323.56	2681.19
2020-09-16	7.92	2300.60	2644.34	2328.45	2687.32	2290.15	2629.50	2267.76	2594.46	2323.56	2681.19
2020-09-16	10.54	2300.60	2644.34	2328.45	2687.32	2290.15	2629.50	2267.76	2594.45	2323.56	2681.19
2020-09-16	13.32	2300.60	2644.34	2328.45	2687.32	2290.15	2629.50	2267.75	2594.45	2323.56	2681.19
2020-09-16	16.27	2300.60	2644.34	2328.44	2687.31	2290.12	2629.46	2267.74	2594.43	2323.56	2681.19
2020-09-16	19.40	2300.60	2644.34	2327.07	2683.40	2289.95	2625.89	2267.55	2593.55	2323.56	2681.19
2020-09-16	22.71	2300.60	2644.34	2321.94	2667.56	2286.12	2611.76	2266.90	2589.42	2323.55	2681.17
2020-09-16	26.20	2300.59	2644.34	2319.49	2654.94	2284.83	2604.26	2265.11	2579.11	2320.77	2671.86
2020-09-16	29.89	2299.23	2641.08	2321.77	2655.63	2285.64	2602.08	2264.92	2574.16	2316.46	2654.32
2020-09-16	33.77	2292.85	2619.71	2323.15	2656.62	2289.85	2608.16	2267.03	2575.77	2317.62	2651.94
2020-09-16	37.85	2296.39	2620.84	2324.52	2658.41	2293.62	2612.89	2270.77	2580.47	2317.71	2650.33
2020-09-16	42.15	2300.68	2625.52	2325.92	2660.42	2298.24	2619.17	2275.30	2586.60	2316.84	2648.28
2020-09-16	46.65	2304.39	2629.75	2327.10	2662.15	2302.50	2624.91	2280.64	2594.01	2315.74	2646.28
2020-09-16	51.38	2307.68	2633.82	2327.98	2663.38	2305.83	2629.35	2286.26	2601.89	2315.78	2646.11
2020-09-16	56.33	2310.79	2637.87	2328.67	2664.17	2308.77	2633.15	2291.46	2609.20	2316.81	2647.44
2020-09-16	61.52	2313.87	2641.93	2329.27	2664.72	2310.95	2636.02	2295.99	2615.46	2318.22	2649.25
2020-09-16	66.95	2316.62	2645.55	2329.83	2665.10	2313.30	2639.14	2299.87	2620.72	2319.79	2651.16
2020-09-16	72.62	2319.07	2648.68	2330.35	2665.39	2316.23	2642.80	2303.69	2625.84	2321.28	2652.95
2020-09-16	78.55	2321.28	2651.41	2330.82	2665.60	2318.87	2646.09	2307.65	2631.11	2322.74	2654.54
2020-09-16	84.74	2323.32	2653.80	2331.25	2665.73	2321.36	2649.19	2311.67	2636.40	2323.98	2655.88
2020-09-16	91.20	2325.28	2655.83	2331.67	2665.83	2324.06	2652.25	2315.52	2641.37	2325.31	2657.09
2020-09-16	97.93	2327.20	2657.56	2332.16	2665.88	2328.33	2655.75	2318.95	2645.58	2326.63	2658.06
2020-09-16	104.94	2329.19	2659.03	2332.54	2665.90	2331.14	2657.74	2321.77	2648.86	2327.97	2658.83
2020-09-16	112.25	2330.84	2660.10	2333.28	2665.88	2333.48	2659.02	2324.06	2651.28	2329.31	2659.38
2020-09-16	119.86	2333.24	2661.82	2334.24	2665.80	2333.92	2659.26	2326.01	2653.07	2330.65	2659.75
2020-09-16	127.77	2334.25	2662.47	2335.39	2665.60	2334.22	2659.44	2327.87	2654.56	2331.71	2659.88
2020-09-16	136.00	2334.66	2662.70	2336.42	2665.30	2334.31	2659.49	2329.50	2655.66	2332.38	2659.91
2020-09-16	144.55	2334.86	2662.82	2336.99	2665.03	2334.34	2659.50	2330.79	2656.37	2332.67	2659.89
2020-09-16	153.43	2334.97	2662.91	2337.19	2664.87	2334.35	2659.51	2331.76	2656.95	2332.78	2659.86
