Date	Depth(m)	phyc_C(mmol/m3)	chl_C(mg/m3)	phyc_E(mmol/m3)	chl_E(mg/m3)	phyc_W(mmol/m3)	chl_W(mg/m3)	phyc_S(mmol/m3)	chl_S(mg/m3)	phyc_N(mmol/m3)	chl_N(mg/m3)
2020-09-16	1.02	0.1432	0.0400	0.1674	0.0393	0.1499	0.0378	0.1483	0.0357	0.1741	0.0429
2020-09-16	3.17	0.1432	0.0400	0.1674	0.0393	0.1499	0.0378	0.1483	0.0357	0.1741	0.0429
2020-09-16	5.46	0.1432	0.0400	0.1674	0.0393	0.1499	0.0378	0.1483	0.0357	0.1741	0.0429
2020-09-16	7.92	0.1432	0.0400	0.1674	0.0393	0.1499	0.0378	0.1483	0.0357	0.1741	0.0429
2020-09-16	10.54	0.1432	0.0400	0.1674	0.0393	0.1499	0.0378	0.1483	0.0357	0.1741	0.0429
2020-09-16	13.32	0.1432	0.0400	0.1674	0.0393	0.1499	0.0378	0.1483	0.0357	0.1741	0.0429
2020-09-16	16.27	0.1432	0.0400	0.1674	0.0393	0.1499	0.0378	0.1483	0.0357	0.1741	0.0429
2020-09-16	19.40	0.1432	0.0400	0.1659	0.0396	0.1512	0.0389	0.1485	0.0359	0.1741	0.0429
2020-09-16	22.71	0.1432	0.0400	0.1581	0.0391	0.1578	0.0420	0.1500	0.0367	0.1741	0.0429
2020-09-16	26.20	0.1432	0.0400	0.1509	0.0372	0.1728	0.0457	0.1597	0.0395	0.1602	0.0431
2020-09-16	29.89	0.1444	0.0411	0.1525	0.0370	0.1942	0.0519	0.1781	0.0436	0.1478	0.0421
2020-09-16	33.77	0.1653	0.0530	0.1609	0.0394	0.2170	0.0590	0.1988	0.0487	0.1465	0.0413
2020-09-16	37.85	0.1845	0.0582	0.1751	0.0444	0.2452	0.0689	0.2237	0.0562	0.1525	0.0430
2020-09-16	42.15	0.2032	0.0633	0.1937	0.0518	0.2755	0.0806	0.2525	0.0663	0.1690	0.0485
2020-09-16	46.65	0.2288	0.0719	0.2156	0.0611	0.3058	0.0931	0.2845	0.0787	0.1978	0.0588
2020-09-16	51.38	0.2645	0.0844	0.2402	0.0715	0.3349	0.1051	0.3176	0.0922	0.2361	0.0726
2020-09-16	56.33	0.3115	0.1002	0.2694	0.0830	0.3665	0.1173	0.3496	0.1054	0.2794	0.0879
2020-09-16	61.52	0.3717	0.1204	0.3046	0.0961	0.4087	0.1322	0.3819	0.1184	0.3294	0.1055
2020-09-16	66.95	0.4491	0.1469	0.3480	0.1119	0.4801	0.1555	0.4214	0.1335	0.3897	0.1270
2020-09-16	72.62	0.5534	0.1831	0.4026	0.1319	0.5906	0.1906	0.4770	0.1540	0.4675	0.1552
2020-09-16	78.55	0.6925	0.2319	0.4711	0.1574	0.7453	0.2405	0.5593	0.1836	0.5706	0.1930
2020-09-16	84.74	0.8632	0.2930	0.5540	0.1892	0.9243	0.3024	0.6684	0.2227	0.7020	0.2422
2020-09-16	91.20	1.0387	0.3592	0.6533	0.2285	0.9956	0.3381	0.7974	0.2697	0.8562	0.3020
2020-09-16	97.93	1.1560	0.4136	0.7647	0.2751	0.7858	0.2850	0.9282	0.3198	0.9998	0.3635
2020-09-16	104.94	1.1526	0.4325	0.8918	0.3314	0.5960	0.2302	1.0318	0.3651	1.0707	0.4078
2020-09-16	112.25	0.9851	0.3940	0.9775	0.3809	0.2814	0.1208	1.0936	0.4004	1.0142	0.4102
2020-09-16	119.86	0.6405	0.2769	0.9693	0.4016	0.2101	0.0954	1.0788	0.4129	0.8466	0.3651
2020-09-16	127.77	0.4104	0.1926	0.8336	0.3706	0.1541	0.0738	1.0028	0.4040	0.5956	0.2738
2020-09-16	136.00	0.2982	0.1482	0.5687	0.2713	0.1354	0.0666	0.8307	0.3554	0.3768	0.1857
2020-09-16	144.55	0.2387	0.1224	0.3381	0.1748	0.1244	0.0621	0.5941	0.2709	0.2286	0.1216
2020-09-16	153.43	0.1997	0.1042	0.1840	0.1047	0.1176	0.0593	0.3932	0.1922	0.1376	0.0793
2020-09-16	162.66	0.1729	0.0908	0.0944	0.0605	0.1101	0.0561	0.2512	0.1323	0.0849	0.0529
2020-09-16	172.24	0.1467	0.0776	0.0462	0.0343	0.1035	0.0533	0.1596	0.0907	0.0554	0.0368
2020-09-16	182.18	0.1201	0.0636	0.0212	0.0189	0.1024	0.0528	0.1021	0.0625	0.0390	0.0272
